Dirección,Precio USD,Terreno m2
Buenos Aires 1800,59.000,50
Catamarca 3700,59.800,234
Avenida General Paz 7700,59.900,202
Primera Junta 3300,59.900,305
Urquiza 7300,59.900,283
Juan de Garay 2500,60.000,711
Vera Mujica 500,60.000,129
Calle Desconocida  0,60.000,1140
Alfonso Duran 4800,Solicitar precio,205.2
Richieri 3800,Solicitar precio,432
Domingo Silva 2300,60.000,193
Padilla 3300,60.000,1000
Calle Palo Borracho 3200,60.000,63.85
Pje. Paraná 3800,60.000,750
Mosconi 4700,60.000,409.16
J.h. Vieytes 1900,60.000,200
Calle 15 0,60.000,178
Mariano Comas 2900,Solicitar precio,191
Pedro Ferré 2900,60.000,156
Pasaje Hernández 2600,60.000,178
Pasaje Andrade 3300,60.000,432
Pedro de Vega 1900,Solicitar precio,193
Pasaje Maipú 3100,60.000,147
Pedro Zenteno 3200,60.000,450
Mosconi 4700,60.000,423
J.h. Vieytes 1900,60.000,298
Luciano Torrent 3100,60.480,200
Salvador Caputto 3500,61.000,173.2
Regimiento 12 de Infantería 200,61.000,60
Córdoba 3100,63.000,184.6
Belgrano 2600,63.000,675
Alvear y Ruperto Godoy 5600,63.000,87
La Rioja 2900,63.000,160
25 de Mayo 2800,63.000,296.59
Carlos Acuña Ramos Mejía 1700,63.000,210
Pedro Zenteno 2400,63.500,275
Doctor Zavalla 2800,64.000,167
Sarmiento 4000,64.000,200
Obispo Gelabert 3800,65.000,200
Facundo Zuviria 7200,65.000,364
Pasaje Andrade 3300,65.000,167
Beruti 5400,65.000,160
Las Heras 4900,65.000,500
Juan Castelli 3700,65.000,103
Hernandarias 2200,65.000,217
Los Aromos 400,Solicitar precio,757
9 de Julio 1200,65.000,150
Necochea 2700,65.000,337.2
Alvear 8200,65.000,656
Alberdi 2700,65.000,180
Castelli 3400,65.000,238
4 de Enero 2200,65.000,296.59
Ambere 1500,65.000,339
Alberdi 6700,65.000,390
Regimiento 12 de Infantería 1500,65.000,172.1
Pasaje Ingenieros 4900,65.000,103
Pasaje Publico 3800,65.000,187
Lavaisse 3100,65.000,210
Alvear 8200,65.000,662
Entre Boulevares 0,65.000,240
San Jeronimo 1900,65.000,217.56
7 de Marzo 2400,65.000,330
Regis Martínez 1700,65.000,200
Alberdi 2700,65.000,231
Pje Huergo 2900,65.000,389
19 de Marzo 600,65.000,303
Zavalla 1800,67.000,250
Estados Unidos 2400,68.000,625
Cordoba 2000,68.000,315
Calle Presbitero Martínez 1000,68.000,261
4 de Enero 7300,68.000,176
"25 de Mayo, 1600",68.000,134
San Lorenzo 2200,Solicitar precio,193
Sarmiento 2600,Solicitar precio,664
Urquiza 3400,Solicitar precio,400
Padre Mazzari 5500,Solicitar precio,77
Frutos 2700,Solicitar precio,470
Candido Pujato 2900,68.000,576.97
Ruta Nacional 80 y Jr Gudiño Laguna Paiva 1600,68.000,345
Pasaje España 4300,68.000,226
Monseñor Zazpe 2400,68.000,311
