Nombre,Precio USD,Dirección,M2 Totales,Ambientes,Baños,Tipo,Precio por m2,Rango de precio,Rango de superficie,Densidad ambientes
Venta de departamentos en PHU2 – San Jerónimo 3133,79000,San Jerónimo 3100,85.0,4.0,2.0,Otro,929.4117647058823,Medio,Mediano,0.047058823529411764
VENTA - GALPON EN EXCELENTE ESTADO - SANTA FE,158000,Amenábar 3600,293.0,,1.0,Galpón,539.2491467576792,Alto,Muy grande,
Casa en venta 2 dormitorios mas monoambiente,55000,San Lorenzo 7800,174.0,6.0,2.0,Casa,316.0919540229885,Bajo,Grande,0.034482758620689655
VENTA CASA A REFACCIONAR /COCHERA B. FOMENTO 9 JUL,72000,Urquiza 4600,155.0,4.0,1.0,Casa,464.51612903225805,Bajo,Grande,0.025806451612903226
Departamento 1 Dorm. PB con Jardín zona centro,72500,9 de Julio 2700,44.81,2.0,1.0,Departamento,1617.9424235661681,Bajo,Chico,0.04463289444320464
Departamento 2 Dorm.   1er piso en zona centro,98000,9 de Julio 2700,56.6,3.0,1.0,Departamento,1731.4487632508833,Medio,Chico,0.053003533568904596
Departamento 2 Dorm. PB con Jardín - zona centro,110000,9 de Julio 2700,79.46,3.0,1.0,Departamento,1384.344324188271,Medio,Mediano,0.03775484520513466
Local Comercial sobre calle Dr. Zavalla,155000,Dr. Zavalla 1300,210.0,,2.0,Local,738.0952380952381,Alto,Muy grande,
Cochera en San Jerónimo 2646,8500,San Jerónimo 2600,12.12,,,Cochera,701.3201320132014,Muy bajo,Chico,
VENTA INTERNO SGTO CABRAL 1447 A REFACCIONAR,62000,Sargento Cabral 1400,131.0,4.0,1.0,Otro,473.2824427480916,Bajo,Grande,0.030534351145038167
VENTA CASA A TERMINAR EN ARROYO LEYES A MTS RUTA,45000,Calle 56 0,66.0,3.0,1.0,Casa,681.8181818181819,Muy bajo,Mediano,0.045454545454545456
Casa Duplex 2 Dorm. c/2 Cocheras Guadalupe,90000,Avenida French 300,110.0,4.0,2.0,Casa,818.1818181818181,Medio,Mediano,0.03636363636363636
DPTO 1 DORM/PATIO MARIA SELVA ENTREGA/FINANCIACION,62000,Castelli 1400,55.0,2.0,1.0,Departamento,1127.2727272727273,Bajo,Chico,0.03636363636363636
VENTA QUINTA 2 DORMITORIOS Y PILETA EN LAS PALTAS,92000,Las Fresias 5700,537.0,4.0,1.0,Quinta,171.3221601489758,Medio,Muy grande,0.0074487895716946
SE VENDE HERMOSA CASA EN CLUB NAUTICO UBAJAY,330000,"Ruta 1- Km 9,5 3100",402.3,6.0,3.0,Casa,820.283370618941,Alto,Muy grande,0.014914243102162566
"Casa 3 Dormitorios, 2 Coch., Barrio Mariano Comas",64000,Pasaje L. M. Drago 3600,154.0,7.0,2.0,Casa,415.5844155844156,Bajo,Grande,0.045454545454545456
DEPTO. DE 1 DORM. Y BALCÓN AL CONTRAFRENTE,56000,Iturraspe 2000,37.0,2.0,1.0,Departamento,1513.5135135135135,Bajo,Chico,0.05405405405405406
SE VENDE O PERMUTA CASA EN BARRIO CIUDADELA,55000,Doctor Zavalla 5500,145.0,4.0,1.0,Casa,379.3103448275862,Bajo,Grande,0.027586206896551724
DPTO 2 DORMIT.CAM A ESTRENAR  BV. PELLEGRINI 2947,160000,Boulevard Pellegrini 2900,79.0,3.0,2.0,Departamento,2025.3164556962026,Alto,Mediano,0.0379746835443038
IMPORTANTE GALPON Y 4 DEPTOS-A LA VENTA,120000,Bv Lehmann y Vias F.f.c.c Manuel Belgrano 900,617.94,,4.0,Galpón,194.19361103019708,Medio,Muy grande,
VENTA DPTO 2 DORMI Y COCHERA - PLAZA PUEYRREDON,190000,Alberdi 3400,75.0,3.0,2.0,Departamento,2533.3333333333335,Alto,Mediano,0.04
VENTA CASA EN ARROYO LEYES,65000,"Ruta 1 Km 16,2 - Manzana 2 0",656.0,4.0,2.0,Casa,99.08536585365853,Bajo,Muy grande,0.006097560975609756
Departamento 2 dormitorios con cochera en venta,110000,Suipacha 2800,62.76,3.0,1.0,Departamento,1752.708731676227,Medio,Mediano,0.04780114722753346
Casa Quinta 3 dorm en Colastiné,280000,Los Urunday 6400,1566.0,5.0,4.0,Casa,178.79948914431674,Alto,Muy grande,0.0031928480204342275
OPORTUNIDAD INVERSION PLAN PILAY 1D SIN ADJUDICAR,20000,Santa Fe 0,45.0,2.0,1.0,Otro,444.44444444444446,Muy bajo,Chico,0.044444444444444446
SE VENDE CASA 2 DORM - CENTRO SANTO TOME,95000,Calle Hipólito Irigoyen 2300,290.0,5.0,1.0,Casa,327.58620689655174,Medio,Muy grande,0.017241379310344827
Casa con pileta en Maria Selva,160000,Hernandarias 2800,295.0,5.0,2.0,Casa,542.3728813559322,Alto,Muy grande,0.01694915254237288
VENTA - CASA A ESTRENAR - NELSON,65000,Pje Humberto Illia 500,200.0,4.0,1.0,Casa,325.0,Bajo,Grande,0.02
Casa sobre Av. Gral Paz ideal desarrollo,125000,Avenida General Paz 5900,204.0,6.0,2.0,Casa,612.7450980392157,Medio,Grande,0.029411764705882353
Venta Fondo de Comercio con Franquicia,40000,Avenida Facundo Zuviría 4400,60.0,,1.0,Otro,666.6666666666666,Muy bajo,Chico,
DPTO EN PB INTERNO EN VENTA BARRIO SUR,69000,1 de Mayo 1300,59.4,3.0,1.0,Departamento,1161.6161616161617,Bajo,Chico,0.050505050505050504
Casa en Republica de Siria 6998 - Guadalupe Oeste,53000,República de Siria 6900,206.0,4.0,1.0,Casa,257.28155339805824,Bajo,Grande,0.019417475728155338
CAM 100 DPTO DE 1 DORMITORIO CON AMENITIES,120000,Alvear 2600,55.0,2.0,1.0,Departamento,2181.818181818182,Medio,Chico,0.03636363636363636
CASA 2 DORMITORIOS ZONA CENTRO,55000,Derqui 1300,198.66,2.0,1.0,Casa,276.85492801771875,Bajo,Grande,0.010067451927917045
"Venta: Casa en planta alta + cochera doble, ¡única",139500,Primera Junta 3400,200.0,4.0,1.0,Casa,697.5,Alto,Grande,0.02
DPTO EN POZO DE 1 DORMITORIO Y PATIO,68000,Hernandarias 1400,55.0,2.0,1.0,Departamento,1236.3636363636363,Bajo,Chico,0.03636363636363636
VENTA CASA EN SANTO TOME - B° CONQUISTADORES,33500,Miguel de Cervantes Saavedra 4900,250.91,3.0,1.0,Casa,133.51400900721373,Muy bajo,Muy grande,0.011956478418556455
DEPARTAMENTO DE CATEGORÍA SOBRE BV. GÁLVEZ,320000,Boulevard Gálvez 1300,107.0,3.0,2.0,Departamento,2990.654205607477,Alto,Mediano,0.028037383177570093
Cochera en Guadalupe,7700,Avenida French 300,12.5,,,Cochera,616.0,Muy bajo,Chico,
COCHERA EN BARRIO CANDIOTI,27500,Alvear 3700,12.5,,,Cochera,2200.0,Muy bajo,Chico,
Duplex 1 Dorm. Amplio c/Cochera Guadalupe,54000,Avenida French 300,52.5,2.0,1.0,Cochera,1028.5714285714287,Bajo,Chico,0.0380952380952381
Casa Quinta 2 dorm. a mts del río en Sauce Viejo,99000,Pte. Juarez Celman 9500,1011.0,4.0,2.0,Casa,97.92284866468843,Medio,Muy grande,0.003956478733926805
Casa de 4 dorm con cochera a mts de la Legislatura,280000,Francia 1600,300.0,6.0,1.0,Casa,933.3333333333334,Alto,Muy grande,0.02
Duplex 2 Dorm. con cochera en Guadalupe Oeste,54000,Berutti 1900,62.0,3.0,1.0,Cochera,870.9677419354839,Bajo,Mediano,0.04838709677419355
CASA EN VENTA EN CANDIOTI NORTE,85000,Pedro Ferré 1500,126.88,5.0,2.0,Casa,669.9243379571249,Medio,Grande,0.03940731399747793
COCHERA DOBLE EN RECOLETA,15000,1º de Mayo 3200,24.0,,,Cochera,625.0,Muy bajo,Chico,
Casa quinta a estrenar a 100mts del río,78000,Pte Juarez Celman 9600,380.0,3.0,1.0,Casa,205.26315789473685,Medio,Muy grande,0.007894736842105263
Dpto. 1 Dorm. en P.B c/cohera y patio,65000,Luciano Torrent 3100,47.19,2.0,1.0,Departamento,1377.4104683195592,Bajo,Chico,0.04238186056367875
CASA PH 2 DORMITORIOS Y COCHERA EN ZONA CENTRO!,140000,San Jerónimo 2900,161.0,5.0,2.0,Casa,869.5652173913044,Alto,Grande,0.031055900621118012
EN VENTA COCHERA EDIFICIO SANCOR N° 74  - CENTRO,11000,San Jerónimo 2000,14.0,,,Cochera,785.7142857142857,Muy bajo,Chico,
Dpto 1 dorm. Ideal Inversion. Zona Centro,75000,Rivadavia 2700,43.0,2.0,1.0,Departamento,1744.1860465116279,Bajo,Chico,0.046511627906976744
Dpto de Monoambiente. Ideal Inversion. Zona Centro,58900,Rivadavia 2700,33.0,1.0,1.0,Departamento,1784.8484848484848,Bajo,Chico,0.030303030303030304
Se vende casa en Santo Tomé!,98000,Avenida del Trabajo 2100,288.0,6.0,3.0,Casa,340.27777777777777,Medio,Muy grande,0.020833333333333332
Venta Casa a Refaccionar Barrio San Martín,35000,Manuel Alberti Esquina Gaboto 0,185.8,4.0,1.0,Casa,188.37459634015067,Muy bajo,Grande,0.02152852529601722
SE VENDE COCHERA BOULEVARD CENTER,20000,San Martín 3600,15.0,2.0,1.0,Cochera,1333.3333333333333,Muy bajo,Chico,0.13333333333333333
Dpto amplio a la venta al frente 1 Dorm y cochera,75000,Padilla 1900,49.0,3.0,1.0,Departamento,1530.6122448979593,Bajo,Chico,0.061224489795918366
"REMAX VENDE CASA 2 DORM, 1BAÑO, BARRIO SAN MARTIN.",28000,Europa 7200,203.0,3.0,1.0,Casa,137.93103448275863,Muy bajo,Grande,0.014778325123152709
VENTA CASA QUINTA en Sauce viejo J. Newbery,45000,El Mate S/n Lote 19 Manzana N°30 0,450.0,3.0,1.0,Casa,100.0,Muy bajo,Muy grande,0.006666666666666667
REMAX VENDE CASA CON GALPON B.LOS HORNOS,75000,Ruperto Godoy 3200,318.0,4.0,1.0,Casa,235.8490566037736,Bajo,Muy grande,0.012578616352201259
"VENTA CASA 2 DORM., COCHERA Y PATIO EN LAG. PAIVA",99000,Maipú 2300,305.07,6.0,1.0,Casa,324.5156849247714,Medio,Muy grande,0.019667617268167962
DPTO DE 2 DORM PLANTA BAJA AL FRENTE EN MONTE VERA,47000,Calle Gozzarelli 5700,66.74,3.0,1.0,Departamento,704.2253521126761,Muy bajo,Mediano,0.044950554390170816
Venta Interno 1 Dormitorio Zona Norte,13000,J. Doldán 5900,68.0,2.0,1.0,Otro,191.1764705882353,Muy bajo,Mediano,0.029411764705882353
VENTA DEPTO A ESTRENAR EDIFICIO DUOMO,108000,9 de Julio 2400,49.42,2.0,1.0,Departamento,2185.3500607041683,Medio,Chico,0.04046944556859571
Casa en venta en Recreo Sur,35000,Neuquén 6300,114.0,4.0,1.0,Casa,307.0175438596491,Muy bajo,Grande,0.03508771929824561
COCHERA TECHADA A METROS DEL TEATRO MUNICIPAL,12000,25 de Mayo 2000,12.31,,,Cochera,974.817221770918,Muy bajo,Chico,
Se VENDE Fondo De Comercio Drugstore Krabi,65000,Avenida Aristóbulo del Valle 5700,112.0,,2.0,Otro,580.3571428571429,Bajo,Mediano,
SAUCE VIEJO CONQUISTADORES,43000,10 3000,310.0,4.0,2.0,Otro,138.70967741935485,Muy bajo,Muy grande,0.012903225806451613
SE VENDE GALPON EN SAUCE VIEJO -  TEMBE I PORA,40000,65 2000,196.0,,1.0,Galpón,204.08163265306123,Muy bajo,Grande,
DPTO  DOS DORMITORIOS IDEAL INVERSION - CENTRO,55000,Rivadavia 1600,57.0,3.0,1.0,Departamento,964.9122807017544,Bajo,Chico,0.05263157894736842
VENTA CASA 2 DORMITORIOS,60000,Alberdi 6000,70.77,4.0,1.0,Casa,847.816871555744,Bajo,Mediano,0.05652112477038294
VENTA GRAN LOCAL COMERCIAL MODERNO Y CENTRICO,500000,Mendoza 2700,314.0,,2.0,Local,1592.3566878980891,Alto,Muy grande,
VENTA CASA 4 DORMITORIOS - VILLA CALIFORNIA,145000,Ybirapitá 1800,1598.0,4.0,2.0,Casa,90.73842302878599,Alto,Muy grande,0.0025031289111389237
COCHERA CORRIENTES 2400,18000,Corrientes 2400,12.0,,,Cochera,1500.0,Muy bajo,Chico,
DEPARTAMENTO 2 dorm PARQUE FEDERAL,95000,José Quintana 2100,74.0,3.0,1.0,Departamento,1283.7837837837837,Medio,Mediano,0.04054054054054054
QUINTA EN  LAS PALTAS,145000,Calle Las Diamelas 5100,167.0,7.0,2.0,Quinta,868.2634730538922,Alto,Grande,0.041916167664670656
Dpto. P.B. - amplio zona Universidades Guadalupe,45000,Piedras 6700,63.0,1.0,1.0,Departamento,714.2857142857143,Muy bajo,Mediano,0.015873015873015872
Casa con jardín y pileta,63000,Azcuenaga 5700,135.0,2.0,1.0,Casa,466.6666666666667,Bajo,Grande,0.014814814814814815
PROPIEDAD A ESTRENAR. LOTEO LAS MERCEDES,75000,Las Mercedes de Recreo. Dr Borzone S/n 0,102.0,3.0,1.0,Otro,735.2941176470588,Bajo,Mediano,0.029411764705882353
"Casa interna única, dos dormitorios y gran patio",52000,Pasaje Echeverría 4700,123.0,3.0,1.0,Casa,422.7642276422764,Bajo,Grande,0.024390243902439025
DEPARTAMENTO 2 DORMITORIOS - SOBRE PEATONAL,75000,San Martín 2000,46.46,4.0,1.0,Departamento,1614.2918639690056,Bajo,Chico,0.08609556607834697
Dpto 2 dorm. MUNDO Bv. GALVEZ 1712 PLAZA PUYRREDON,345000,Boulevard Gálvez 1700,110.0,3.0,2.0,Departamento,3136.3636363636365,Alto,Mediano,0.02727272727272727
Dpto 2 dorm. MUNDO Bv. GALVEZ 1712 PLAZA PUYRREDON,330000,Boulevard Gálvez 1700,110.0,3.0,2.0,Departamento,3000.0,Alto,Mediano,0.02727272727272727
Importante casa en Villa California,250000,Río de Oro 2800,412.0,7.0,4.0,Casa,606.7961165048544,Alto,Muy grande,0.01699029126213592
Se Vende Departamento dos dormitorios Zona Centro.,63000,La Rioja 2900,66.0,3.0,1.0,Departamento,954.5454545454545,Bajo,Mediano,0.045454545454545456
CASA SOBRE AZCUÉNAGA Y ARISTÓBULO SANTO TOME,62000,Azucenaga 3000,220.0,5.0,2.0,Casa,281.8181818181818,Bajo,Muy grande,0.022727272727272728
"Oportunidad casa, primera vivienda o inversor",23000,Azcuénaga 5600,104.0,3.0,1.0,Casa,221.15384615384616,Muy bajo,Mediano,0.028846153846153848
"OPORTUNIDAD EN RECREO SUR, CASA 7 AÑOS DE ANTG.",32000,Los Chañares 300,203.0,3.0,1.0,Casa,157.63546798029557,Muy bajo,Grande,0.014778325123152709
OPORTUNIDAD! primera vivienda o inversión,35000,Misiones 5300,215.0,3.0,1.0,Otro,162.7906976744186,Muy bajo,Muy grande,0.013953488372093023
