Nombre,Precio USD,Dirección,M2 Totales,Ambientes,Baños
Departamento 1 Dormitorio en B° Constituyentes!!,Solicitar precio,Urquiza 3000,59,2,1
VENTA CASA 4 DORMITORIOS PILETA QUINCHO LAS PALTAS,170.000,Calle Ibira Pita 6200,258,7,6
LOTE 432m2 en Sauce,17.000,Calle 63 S/N,,,
SE VENDE DPTO EN BARRIO LOYOLA,30.000,Balacarce - Monoblock V 0,99,5,2
Venta Departamento 2 dorm y cochera centro SantaFe,118.000,25 de Mayo 2700,64.3,4,1
Local comercial en RÍO ARRIBA WORK CENTER,55.000,Rosaura Schweizer 1500,31.62,,
"Se vende cochera en ""Celestino XVI""",13.000,4 de Enero 2700,15,,
DEPARTAMENTO DE 1 DORMITORIO - ALTOS DEL SARSFIELD,95.000,Velez Sarsfield 3300,1723,2,1
DPTO EN VENTA DE 1 DORMITORIO SOBRE BV PELLEGRINI,105.000,Boulevard Pellegrini 2900,57,2,1
VENTA DEPARTAMENTO DE 1 DORMITORIO EN BARRIO SUR,87.000,Monseñor Zazpe 2400,48,2,1
Cochera a estrenar,22.500,La Rioja 3300,25,,
Departamento 2 dormitorios a estrenar,157.000,La Rioja 3300,77.72,3,2
VENTA. Dpto de 2 dormitorios en Torre L,150.000,4 de Enero 2700,79,4,2
VENTA DE PLAN DE AHORRO PILAY,22.000,"Santa Fe, Santa Fe 0",75,3,1
SE VENDE LOTE 13X100 +CASA A TERMINAR AV. GRAL PAZ,50.000,Av General Paz 0,70,,
DEPARTAMENTO DE 1 DORMITORIO DE LUJO EN BARRIO SUR,87.000,San Lorenzo 2200,40.39,2,1
CASA 2 HABITACIONES EN VENTA - B. GUADALUPE,175.000,Juan Castelli 400,218,3,1
CASA QUINTA EN COUNTRY UBAJAY RUTA 1 RINCON,63.000,Callejón Pintos 100,161.08,5,2
Se vende departamento de 1 dormitorio con cochera,62.000,Urquiza 4200,43,2,1
Dpto 2 dorm. c/cochera NEO - Entrega fines 2026,195.000,Sarmiento 2700,97.94,2,2
VENTA DE COCHERA FRENTE A LA MUNICIPALIDAD,Solicitar precio,4 de Enero 2100,15,,
VENTA DE COCHERA FRENTE A LA MUNICIPALIDAD,Solicitar precio,4 de Enero 2100,15,,
VENTA DE COCHERA FRENTE A LA MUNICIPALIDAD,Solicitar precio,4 de Enero 2100,15,,
QUINTA CON PILETA en LAGOS DEL LEYES,55.000,Ruta Provincial 1 Calle 79 Entre 76 y 78 100,56,2,1
CASA DE 4 DORM Y PATIO VERDE A MTS DE GRAL PAZ,220.000,Pedro Ferré 1800,313,8,3
Venta de fondo de comercio ASIA CHICA,Solicitar precio,Lavalle 3200,200,,2
Plan Pilay adjudicado,40.000,Belgrano 4600,72,3,1
Semipiso A ESTRENAR en venta de 1 dormitorio,69.500,Necochea 5300,58,3,1
CASA EN SANTO TOME A 50 M DE AV. RICHIERRI,68.000,Pasaje España 4300,576.97,4,1
Se vende interno en Guadalupe Oeste,45.000,Alberti 1300,96,6,1
VENTA CASA QUINTA en Sauce viejo J. Newbery,45.000,El Mate S/n Lote 19 Manzana N°30 0,450,3,1
REMAX VENDE TERRENO EN ANGEL GALLARDO (PRADERAS 3),15.000,La Paz S/N,,,
Casa de dos dormitorios cochera y patio,55.000,Hernandarias 3700,149,4,1
Venta piso completo en zona centro,220.000,25 de Mayo 2000,150,6,3
VENTA LOTE CON VISTA A LA LAGUNA EN 2 Lagunas,180.000,Camino Viejo S/N,,,
Venta Casaquinta en Arroyo Leyes,82.000,Avenida los Talas 0,136,3,1
EXCELENTE LOTE DE 1200 m2 EN GDOR. CANDIOTI,29.000,López y Planes y Moreno S/N,,,
"LOTE EN VENTA EN LAS MERCEDES, RECREO",16.900,Presidente Perón S/N,,,
CASA EN ARROYO LEYES CERCANO AL RIO,49.000,135 0,70,3,1
VENTA - CASA 4 DORMITORIOS - SAN JOSE DEL RINCON,125.000,Padre Mazzari 5200,1200,4,1
Venta de terreno en Praderas 5,20.000,Asuncion S/N,,,
SE VENDE INTERNO EN GUADALUPE OESTE,35.000,Lavalle 7300,333,5,1
SE VENDE TERRENO EN ZONA NORTE,17.000,Pasaje Rodríguez 8000,,,
Se Vende Propiedad en Punta Norte,54.000,Calle Malaver 4600,300,4,1
Se vende dpto interno,Solicitar precio,Pedro Zenteno 3600,57,3,1
SE VENDE DEPARTAMENTO INTERNO A METROS DE BV.,55.000,Lavalle 3500,51,3,1
Se Vende Casa de Categoria en Arroyo Leyes,Solicitar precio,Avenida los Talas 2100,659,6,3
CASA DE DOS PLANTAS EN EXELENTE ESTADO,80.000,Pasaje Koch 3500,150,4,2
VENTA CASA A ESTRENAR 3 DORM C PILETA EN RECOLETA,215.000,Santiago del Estero 2600,150,4,2
