Dirección,Precio USD,Terreno m2
Azcuénaga 5400,25.000,162.4
Pasaje Guanella S/n 3000,25.000,190
Juan de Garay 2400,Solicitar precio,525
Calle 24 S/n S/N,25.000,949.19
Los Cedros 2800,25.000,367
Juan de Garay 2400,Solicitar precio,212
Guemes 9900,25.000,377
Loteo el Carmen Sauce Viejo S/N,25.000,323.53
Ayacucho 2100,25.000,693
Pasaje Doldan Esquina Saavedra S/N,25.000,520
Castelli 3900,25.000,675
Juan Lavalle 2100,25.000,280
La Plata 3800,25.000,323.53
Calle 24 S/n S/N,25.000,525
Castelli 3900,25.000,377
25 de Mayo 2600,25.000,467
Rivadavia 3000,25.000,240
Maletti 2500,25.000,468
1 de Mayo 4000,25.000,675
9 de Julio 2400,25.000,300
Alvear 2600,25.000,520
Papa Francisco Entre Av. I. Crespo y Dr. Favaloro Las Mercedes S/N,25.000,604
Calle Montenegro S/N,25.000,390
Presidente Jose E. Uriburu S/N,25.000,225
Loteo los Domingos S/N,25.000,100.54
Juan de Garay 2400,Solicitar precio,150
Regis Martínez 3800,25.000,1026
Boulevard Pellegrini 2800,26.000,100.54
Pedro Centeno 3800,26.000,426.36
Los Domingos Barrio Abierto S/N,26.500,260
Mauri 3000,26.500,257
Mauri 3100,26.500,396
Roverano 3200,27.000,264
Boulevard Pellegrini 2800,27.000,260
Mauri 3000,27.000,1420
Padre Genesio 1900,27.000,800
Urquiza 1000,27.000,800
Mauri 3100,27.000,230
Estrella Federal S/n S/N,Solicitar precio,800
Boulevard Pellegrini 2800,27.000,145
Saavedra 2000,27.000,132
Ee Uu S/n S/N,27.000,264
Las Acacias 9700,28.000,318
Calle Desconocida  S/N,28.000,520
"Mariano Quiroga, Recreo 1700",28.000,204.99
Las Heras 300,28.000,500
Maletti Entre Castelli y Moreno S/N,28.000,380
Mauri 3000,28.000,246
Tierra del Fuego 3200,28.000,169
Luis Leon de los Santos 1800,28.000,500
Lavalle 7600,28.000,200
Los Domingos S/N,28.000,409.5
Los Domingos S/N,28.000,409.67
Corrientes 4000,28.000,256
Cochabamba 4400,28.000,200
Calle 51 2900,28.000,464.55
Piedrabuena 1700,28.000,203.02
Calle Desconocida  S/N,28.000,125
Europa 7200,28.000,1065
Monseñor Zazpe 3900,28.000,432
Calle Las Encinas S/N,28.000,500
Teófilo Madrejon Calle 140 100,28.000,199.9
Calle Río Negro 6800,29.000,400
Boneo 3700,Solicitar precio,172
Zavalla 1800,29.000,234
López y Planes y Moreno S/N,29.000,1200
Boulevard Gálvez 100,29.000,362
Calle Canillitas S/N,29.500,536.86
Sara Pinasco de Julierac 1800,Solicitar precio,600
Calle Camino Real Santa Rosa S/N,29.900,536
Ruta Nacional 19 S/N,29.900,200
Calle Camino Real Santa Rosa S/N,29.900,412.6
Florencio Fernández 5900,30.000,918
José Mármol 5000,30.000,800
Calle 0,30.000,200
Aristobulo del Valle 9200,Solicitar precio,258
Luis Maria Echeverry 600,30.000,1590
Blas Parera 6300,30.000,204
Balacarce - Monoblock V 0,30.000,284
Azopardo 1000,30.000,200
Padre Genesio 1900,30.000,284
Callee N 18 y Pasaje 45 Bis 3000,30.000,673.38
Callejon Vega S/N,30.000,1185
Los Algarrobos 0,30.000,888
Calle 8 4600,30.000,765
Boulevard Gálvez 1700,30.000,281
Boulevard Gálvez 1700,30.000,181
Lote 1 Manzana 4 S/N,30.000,918
Monseñor Zazpe 3200,30.000,367
